State,year,Annual Average Pay,County,dispensaries_cnt,Unemployment Rate,Latitude,Longitude,deaths,Population,multiple_cod,opioid_related
DC,2014,,District of Columbia,1,7.8,38.904103,-77.017229,37,658893,Heroin,TRUE
CO,2013,61153,Denver County,4,,39.76185,-104.881105,33,649495,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
CO,2013,55853,Douglas County,,5.3,39.325414,-104.925987,15,305963,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
CO,2013,44494,El Paso County,2,7.9,38.827383,-104.527472,43,655044,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
CO,2013,49561,Jefferson County,2,6.2,39.579511,-105.245462,19,551798,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
WV,2014,48784,Boone County,,9.3,38.022814,-81.713539,11,23714,"Mental and behavioural disorders due to use of opioids, harmful use",TRUE
CO,2013,43437,Larimer County,,5.8,40.658093,-105.486764,16,315988,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
CO,2013,37440,Pueblo County,1,9.8,38.170658,-104.489892,25,161451,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
CO,2013,43174,Weld County,,6.6,40.555961,-104.383666,10,269785,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
CT,2013,82345,Fairfield County,3,7.2,41.227413,-73.367061,66,939904,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
CT,2013,62014,Hartford County,2,8,41.806053,-72.732916,100,898272,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
CT,2013,42418,Litchfield County,,6.9,41.791883,-73.235404,22,186924,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
CT,2013,49561,Middlesex County,1,6.5,41.433003,-72.52278,14,165562,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
CT,2013,51937,New Haven County,,8.4,41.349717,-72.900204,108,862287,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
CT,2013,49313,New London County,,8,41.472651,-72.108633,40,274150,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
DE,2013,38575,Kent County,,7.4,39.097088,-75.502982,16,169416,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
DE,2013,58939,New Castle County,3,6.5,39.575915,-75.644132,32,549684,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
DE,2013,35217,Sussex County,,6.9,38.673227,-75.337024,19,206649,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
DC,2013,,District of Columbia,1,8.5,38.904103,-77.017229,57,646449,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
FL,2013,44364,Brevard County,1,8.3,28.298304,-80.700331,18,550823,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
FL,2013,45598,Broward County,3,6.8,26.193535,-80.476683,60,1838844,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
FL,2013,33780,Clay County,,6.3,29.986584,-81.865036,17,196399,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
FL,2014,47012,Broward County,3,5.9,26.193535,-80.476683,19,1869235,Heroin,TRUE
FL,2013,43214,Collier County,1,7.1,26.118786,-81.400955,11,339642,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
FL,2013,47481,Duval County,1,7.5,30.335245,-81.648113,65,885855,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
FL,2013,32141,Hernando County,,9,28.573043,-82.466227,12,174441,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
IA,2013,49777,Polk County,,4.8,41.684816,-93.568971,18,451677,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
FL,2013,47408,Hillsborough County,1,6.6,27.906607,-82.349719,66,1291578,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
FL,2013,38883,Lee County,2,7.3,26.559035,-81.891994,19,661115,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
FL,2013,37320,Manatee County,,6.7,27.481682,-82.368767,23,342106,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
FL,2013,34425,Marion County,,8.5,29.202805,-82.0431,18,337362,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
FL,2013,47458,Miami-Dade County,1,7.5,25.61058,-80.499137,47,2617176,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
FL,2013,43145,Orange County,,6.8,28.514435,-81.323295,69,1225267,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
FL,2013,34138,Osceola County,,7.9,28.059027,-81.139312,18,298504,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
FL,2013,48214,Palm Beach County,3,7.1,26.649124,-80.448374,77,1372171,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
FL,2013,34540,Pasco County,,7.7,28.307465,-82.464584,36,475502,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
FL,2013,43494,Pinellas County,4,6.6,27.903122,-82.739518,58,929048,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
FL,2013,37485,Polk County,,8.2,27.953115,-81.692783,27,623009,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
FL,2013,36173,St. Lucie County,,10,27.379812,-80.443537,11,286832,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
FL,2013,40567,Sarasota County,1,7,27.184386,-82.365835,19,390429,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
FL,2013,40948,Seminole County,1,6.7,28.690092,-81.131989,17,436041,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
FL,2013,34947,Volusia County,,8.2,29.057769,-81.161792,24,500800,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
GA,2013,53065,Cobb County,,6.7,33.93994,-84.574166,14,717190,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
GA,2013,50609,DeKalb County,,8.5,33.770661,-84.226343,21,713340,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
FL,2014,43934,Collier County,1,6,26.118786,-81.400955,14,348777,Heroin,TRUE
GA,2013,66400,Fulton County,,8.1,33.790034,-84.468182,45,984293,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
GA,2013,48240,Gwinnett County,,6.9,33.959148,-84.023085,23,859304,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
IA,2013,40456,Scott County,,5.6,41.642079,-90.622289,12,170385,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
HI,2013,45685,Honolulu County,,,21.461365,-158.201974,21,983429,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
ID,2013,43069,Ada County,,5.2,43.451477,-116.244376,13,416464,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
IL,2013,42660,Champaign County,1,7.5,40.13898,-88.196996,15,204897,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
IL,2013,58153,Cook County,6,9.7,41.894294,-87.645455,463,5240700,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
IL,2013,57952,DuPage County,1,7.4,41.852058,-88.086038,50,932126,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
IL,2013,42935,Kane County,1,8.7,41.939594,-88.42804,22,523643,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
IL,2013,37171,Kankakee County,,10.4,41.13951,-87.861117,17,112120,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
IL,2013,65386,Lake County,,7.9,42.326435,-87.436033,38,703019,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
IL,2013,39073,LaSalle County,,10.4,41.343341,-88.885931,18,112183,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
IL,2013,40701,McHenry County,,8.7,42.324298,-88.452245,15,307409,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
IL,2013,40618,Madison County,,8.9,38.827082,-89.900195,31,267225,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
IL,2013,47271,Peoria County,1,9.6,40.785995,-89.767106,20,188429,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
IL,2013,39234,St. Clair County,,9.8,38.470198,-89.928546,22,266955,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
IL,2013,50134,Sangamon County,1,7.4,39.757258,-89.662032,11,199145,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
IL,2013,43081,Will County,2,9.9,41.448474,-87.978456,47,682829,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
IL,2013,42070,Winnebago County,1,10.5,42.337396,-89.161205,57,290666,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
IN,2013,44585,Lake County,,9.1,41.472247,-87.374337,35,491456,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
IN,2013,50621,Marion County,,8.5,39.782976,-86.135794,45,928281,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
FL,2014,48811,Duval County,1,6.7,30.335245,-81.648113,14,897698,Heroin,TRUE
IN,2013,40555,Porter County,,7.2,41.509916,-87.071313,24,166557,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
IN,2013,39700,St. Joseph County,,8.7,41.617699,-86.288159,24,266709,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
KS,2013,51020,Johnson County,,4.3,38.883907,-94.82233,17,566933,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
KS,2013,44616,Sedgwick County,,6.2,37.681045,-97.461054,23,505415,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
KY,2013,43195,Boone County,,6.7,38.974595,-84.731431,24,124442,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
KY,2013,37641,Campbell County,,6.6,38.946981,-84.379583,16,90988,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
KY,2013,36188,Daviess County,,6.9,37.731671,-87.087139,11,98218,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
KY,2013,43532,Fayette County,,5.8,38.040676,-84.458274,27,308428,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
KY,2013,47736,Jefferson County,,7.5,38.189532,-85.657624,58,756832,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
KY,2013,46250,Kenton County,,7.1,38.930503,-84.533438,32,163145,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
LA,2013,46942,East Baton Rouge Parish,,6.2,30.54393,-91.093131,19,445227,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
LA,2013,44628,Jefferson Parish,,6.2,29.5033,-90.036231,54,434767,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
LA,2013,48818,Orleans Parish,,7.3,30.05342,-89.934502,61,378715,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
LA,2013,42478,St. Tammany Parish,,5.7,30.410022,-89.951962,13,242333,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
ME,2013,44658,Cumberland County,3,5.2,43.808348,-70.330375,12,285456,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
ME,2013,38589,York County,1,6.3,43.426019,-70.668425,10,199431,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
MD,2013,53408,Anne Arundel County,2,5.7,38.993579,-76.56048,10,555743,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
MD,2013,49950,Baltimore County,1,6.9,39.443167,-76.616569,29,823015,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
FL,2014,48388,Hillsborough County,1,5.8,27.906607,-82.349719,24,1316298,Heroin,TRUE
MD,2013,47464,Harford County,,6.5,39.537429,-76.299789,12,249215,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
MD,2013,51592,Prince George's County,,6.9,38.82588,-76.847272,14,890081,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
MD,2013,,Baltimore city,2,9.7,39.300032,-76.610476,28,622104,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
WV,2014,39688,Cabell County,,5.5,38.419578,-82.243397,24,97109,"Mental and behavioural disorders due to use of opioids, harmful use",TRUE
MA,2013,41535,Barnstable County,2,8.2,41.799014,-70.21188,28,214990,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
MA,2013,40766,Berkshire County,2,7.4,42.375314,-73.213948,16,129585,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
MA,2013,44678,Bristol County,3,8.6,41.746863,-71.090509,95,552780,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
MA,2013,52233,Essex County,3,7,42.642711,-70.865107,71,762550,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
MA,2013,45136,Hampden County,2,9.1,42.136198,-72.635648,57,467319,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
MA,2013,41881,Hampshire County,1,5.8,42.339459,-72.663694,21,159596,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
MA,2013,73190,Middlesex County,5,5.5,42.481711,-71.394917,101,1552802,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
MA,2013,58120,Norfolk County,4,5.8,42.17175,-71.181115,55,687802,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
MA,2013,46489,Plymouth County,2,7.1,41.987196,-70.741942,53,501915,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
MA,2013,81591,Suffolk County,1,6.2,42.33196,-71.020173,80,755503,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
MA,2013,49703,Worcester County,2,7.2,42.311693,-71.940282,87,809106,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
MI,2013,40317,Genesee County,,9.8,43.021077,-83.706372,21,415376,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
MI,2013,46895,Ingham County,,7.7,42.603534,-84.373811,12,282234,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
MI,2013,45571,Kalamazoo County,,6.9,42.246266,-85.532854,12,256725,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
MI,2013,43381,Kent County,2,6.3,43.032497,-85.547446,43,621700,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
MI,2013,49846,Macomb County,4,9.5,42.671467,-82.910869,97,854769,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
MI,2013,44174,Monroe County,,7.4,41.916097,-83.487106,22,150376,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
FL,2014,39616,Lee County,2,6,26.559035,-81.891994,24,679513,Heroin,TRUE
MI,2013,38869,Muskegon County,,10,43.289258,-86.751892,10,171008,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
MI,2013,54758,Oakland County,2,7.8,42.660452,-83.38421,17,1231640,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
WV,2014,43782,Kanawha County,,5.9,38.328068,-81.523516,33,190223,"Mental and behavioural disorders due to use of opioids, harmful use",TRUE
MI,2013,40861,Ottawa County,,6.1,42.942461,-86.654946,10,272701,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
MI,2013,39744,St. Clair County,,11.5,42.928803,-82.668913,13,160469,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
MI,2013,51867,Washtenaw County,,5.9,42.252327,-83.844634,31,354240,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
MI,2013,53782,Wayne County,2,11.5,42.284664,-83.261953,216,1775273,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
MN,2013,46280,Anoka County,,5,45.27411,-93.242723,22,339534,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
MN,2013,48010,Dakota County,,4.5,44.670893,-93.062481,15,408509,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
MN,2013,62261,Hennepin County,,4.6,45.006121,-93.475228,67,1198778,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
MN,2013,56072,Ramsey County,,4.9,45.01525,-93.100141,25,526714,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
MO,2013,35537,Franklin County,,7.1,38.408313,-91.07341,13,101816,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
MO,2013,37288,Greene County,,5.5,37.258196,-93.340641,15,283870,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
MO,2013,50055,Jackson County,,7.6,39.005441,-94.343326,42,679996,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
MO,2013,32807,Jefferson County,,6.8,38.257599,-90.543542,39,221396,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
MO,2013,39620,St. Charles County,,5.3,38.781102,-90.674915,30,373495,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
MO,2013,28710,St. Francois County,,8.5,37.810707,-90.473868,14,66215,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
MO,2013,52684,St. Louis County,,6.2,38.640702,-90.445954,124,1001444,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
MO,2013,,St. Louis city,,8.3,38.635699,-90.244582,77,318416,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
NV,2013,43508,Clark County,15,9.6,36.214257,-115.013812,141,2027868,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
NV,2013,44067,Washoe County,2,9.4,40.734015,-119.662272,36,433731,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
FL,2014,37931,Manatee County,,5.7,27.481682,-82.368767,31,351746,Heroin,TRUE
NH,2013,41412,Cheshire County,,4.7,42.925455,-72.248217,11,76610,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
NM,2013,34635,Dona Ana County,,7.5,32.350912,-106.832182,13,213460,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
NH,2013,53994,Hillsborough County,,5.3,42.911532,-71.723055,31,403985,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
NH,2013,45034,Merrimack County,,4.6,43.299579,-71.680041,13,146849,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
NH,2013,47798,Rockingham County,,5.4,42.988599,-71.099072,26,299134,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
NJ,2013,41050,Atlantic County,,11.6,39.469354,-74.633758,25,275862,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
NJ,2013,60392,Bergen County,,6.7,40.959698,-74.074727,51,925328,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
NJ,2013,34744,Cape May County,,14.3,39.086142,-74.847716,18,95897,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
NJ,2013,42223,Cumberland County,,11.8,39.328434,-75.121628,10,157332,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
NJ,2013,63166,Essex County,,9.7,40.7874,-74.246292,72,789565,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
NJ,2013,43571,Gloucester County,,8.9,39.722875,-75.145679,10,290265,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
NJ,2013,69056,Hudson County,,7.9,40.731375,-74.078601,31,660282,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
NJ,2013,66747,Mercer County,,7.2,40.282503,-74.703724,19,370414,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
NJ,2013,60474,Middlesex County,,7.5,40.439613,-74.407579,34,828919,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
NJ,2013,50036,Monmouth County,,7.5,40.287048,-74.152446,44,629672,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
NJ,2013,75202,Morris County,,6.2,40.858581,-74.547427,19,499397,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
NJ,2013,40482,Ocean County,,9.3,39.865669,-74.258864,41,583414,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
NJ,2013,49257,Passaic County,,10,41.03789,-74.29828,33,505672,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
NJ,2013,80606,Somerset County,,6.3,40.565527,-74.619938,19,330585,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
NJ,2013,63421,Union County,,8.4,40.659871,-74.308696,16,548256,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
NM,2013,42560,Bernalillo County,,6.5,35.054002,-106.669064,54,674221,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
FL,2014,48883,Miami-Dade County,1,6.8,25.61058,-80.499137,36,2662874,Heroin,TRUE
AZ,2014,49374,Maricopa County,32,5.8,33.346541,-112.495534,14,4087191,"Mental and behavioural disorders due to use of opioids, harmful use",TRUE
NM,2013,31422,Rio Arriba County,,9.5,36.509669,-106.693983,13,40072,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
NM,2013,41921,Santa Fe County,,5.6,35.514324,-105.965771,21,147423,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
NY,2013,46827,Bronx County,1,11.8,40.848711,-73.852939,98,1418733,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
NY,2013,38629,Broome County,,7.8,42.161977,-75.830283,18,197534,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
NY,2013,34462,Chautauqua County,,8,42.304216,-79.407595,10,133080,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
NY,2013,49547,Dutchess County,,6.7,41.75477,-73.740041,36,296916,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
NY,2013,43286,Erie County,1,7.4,42.752759,-78.778192,89,919866,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
NY,2013,39959,Kings County,2,9.4,40.635045,-73.95064,109,2592149,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
NY,2013,46387,Monroe County,1,7,43.464475,-77.664656,54,749606,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
NY,2013,55058,Nassau County,1,5.9,40.729612,-73.589414,82,1352146,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
NY,2013,101700,New York County,5,7.5,40.776642,-73.970187,94,1626159,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
NY,2013,37861,Niagara County,,8.4,43.456731,-78.792142,19,214249,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
NY,2013,45376,Onondaga County,,6.8,43.006516,-76.196134,21,468387,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
NY,2013,41347,Orange County,,6.8,41.40241,-74.306252,26,375592,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",FALSE
